GO IPR KO
GO:0000155 IPR004105 K11637
GO:0000155 IPR004105 K10916
GO:0000155 IPR004105 K07638
GO:0000155 IPR004105 K08082
GO:0000155 IPR004105 K18986
GO:0000155 IPR004105 K07644
GO:0000155 IPR004105 K19081
GO:0000155 IPR004105 K14489
GO:0000155 IPR004105 K07706
GO:0000155 IPR004105 K10909
GO:0000155 IPR004105 K07654
GO:0000155 IPR004105 K07655
GO:0000155 IPR004105 K07653
GO:0000155 IPR004105 K07646
GO:0000155 IPR004105 K07643
GO:0000155 IPR004105 K19616
GO:0000155 IPR004105 K15011
GO:0000155 IPR004105 K11711
GO:0000155 IPR004105 K11691
GO:0000155 IPR004105 K02491
GO:0000155 IPR004105 K07637
GO:0000155 IPR004105 K06596
GO:0000155 IPR004105 K07642
GO:0000155 IPR004105 K07680
GO:0000155 IPR004105 K07681
GO:0000155 IPR004105 K07645
GO:0000155 IPR004105 K07679
GO:0000155 IPR004105 K10715
GO:0000155 IPR004105 K11328
GO:0000155 IPR004105 K07682
GO:0000155 IPR004105 K07636
GO:0000155 IPR004105 K13598
GO:0000155 IPR004105 K07641
GO:0000155 IPR004105 K11527
GO:0000155 IPR004105 K07639
GO:0000155 IPR004105 K11526
GO:0000155 IPR011104 K13532
GO:0000155 IPR011104 K13490
GO:0000155 IPR011104 K13533
GO:0000155 IPR011104 K07650
GO:0000155 IPR011104 K20263
GO:0000155 IPR011104 K10942
GO:0000155 IPR011104 K07677
GO:0000155 IPR011104 K07649
GO:0000155 IPR011104 K19609
GO:0000155 IPR011104 K07678
GO:0000155 IPR011104 K13587
GO:0000155 IPR011104 K02486
GO:0000155 IPR011104 K10125
GO:0000155 IPR011104 K07676
GO:0000155 IPR011104 K11231
GO:0000155 IPR011104 K18345
GO:0000155 IPR011104 K11357
GO:0000155 IPR011104 K19661
GO:0000155 IPR011104 K02478
GO:0000155 IPR011104 K07717
GO:0000155 IPR011104 K11520
GO:0000155 IPR011104 K02480
GO:0000155 IPR011104 K07718
GO:0000155 IPR011104 K07716
GO:0000155 IPR011104 K02482
GO:0000155 IPR011104 K20487
GO:0000155 IPR011104 K07675
GO:0000155 IPR011104 K12294
GO:0000155 IPR011104 K03407
GO:0000155 IPR011104 K07651
GO:0000155 IPR011104 K07697
GO:0000155 IPR011104 K17060
GO:0000155 IPR011104 K14986
GO:0000155 IPR011104 K07673
GO:0000155 IPR011104 K14988
GO:0000155 IPR011104 K07709
GO:0000155 IPR011104 K14980
GO:0000155 IPR011104 K07710
GO:0000155 IPR011104 K14982
GO:0000155 IPR011104 K11617
GO:0000155 IPR011104 K11623
GO:0000155 IPR011104 K02484
GO:0000155 IPR011104 K07777
GO:0000155 IPR011104 K19621
GO:0000155 IPR011104 K07647
GO:0000155 IPR011104 K18143
GO:0000155 IPR011104 K07674
GO:0000155 IPR011104 K11633
GO:0000155 IPR011104 K11383
GO:0000155 IPR011104 K20973
GO:0000155 IPR011104 K07701
GO:0000155 IPR011104 K18940
GO:0000155 IPR011104 K11640
GO:0000155 IPR011104 K19694
GO:0000155 IPR011104 K15850
GO:0000155 IPR011104 K18072
GO:0000155 IPR011104 K11614
GO:0000155 IPR011104 K07778
GO:0000155 IPR011104 K02489
GO:0000155 IPR011104 K07769
GO:0000155 IPR011104 K07656
GO:0000155 IPR011104 K07711
GO:0000155 IPR011104 K10681
GO:0000155 IPR011104 K07708
GO:0000155 IPR011104 K13040
GO:0000155 IPR011104 K14978
GO:0000155 IPR011104 K19690
GO:0000155 IPR011104 K19691
GO:0000155 IPR011104 K18350
GO:0000155 IPR011104 K18351
GO:0000155 IPR011104 K19692
GO:0000155 IPR011104 K07683
GO:0000155 IPR011104 K08475
GO:0000155 IPR011104 K20339
GO:0000155 IPR011104 K07704
GO:0000155 IPR011104 K07768
GO:0000155 IPR011104 K20974
GO:0000155 IPR011104 K20975
GO:0000155 IPR011104 K02668
GO:0000155 IPR011104 K07698
GO:0000155 IPR011104 K07700
GO:0000155 IPR011104 K11354
GO:0000155 IPR011104 K07652
GO:0000155 IPR011104 K20960
GO:0000155 IPR011104 K00936
GO:0000155 IPR011104 K11629
GO:0000155 IPR011104 K08479
GO:0000155 IPR011104 K07640
GO:0000155 IPR011104 K02476
GO:0000155 IPR011104 K19077
GO:0000155 IPR011104 K11356
GO:0000155 IPR011104 K07648
GO:0000155 IPR011104 K11637
GO:0000155 IPR011104 K10916
GO:0000155 IPR011104 K07638
GO:0000155 IPR011104 K08082
GO:0000155 IPR011104 K18986
GO:0000155 IPR011104 K07644
GO:0000155 IPR011104 K19081
GO:0000155 IPR011104 K14489
GO:0000155 IPR011104 K07706
GO:0000155 IPR011104 K10909
GO:0000155 IPR011104 K07654
GO:0000155 IPR011104 K07655
GO:0000155 IPR011104 K07653
GO:0000155 IPR011104 K07646
GO:0000155 IPR011104 K07643
GO:0000155 IPR011104 K19616
GO:0000155 IPR011104 K15011
GO:0000155 IPR011104 K11711
GO:0000155 IPR011104 K11691
GO:0000155 IPR011104 K02491
GO:0000155 IPR011104 K07637
GO:0000155 IPR011104 K06596
GO:0000155 IPR011104 K07642
GO:0000155 IPR011104 K07680
GO:0000155 IPR011104 K07681
GO:0000155 IPR011104 K07645
GO:0000155 IPR011104 K07679
GO:0000155 IPR011104 K10715
GO:0000155 IPR011104 K11328
GO:0000155 IPR011104 K07682
GO:0000155 IPR011104 K07636
GO:0000155 IPR011104 K13598
GO:0000155 IPR011104 K07641
GO:0000155 IPR011104 K11527
GO:0000155 IPR011104 K07639
GO:0000155 IPR011104 K11526
GO:0000155 IPR037006 K13532
GO:0000155 IPR037006 K13490
GO:0000155 IPR037006 K13533
GO:0000155 IPR037006 K07650
GO:0000155 IPR037006 K20263
GO:0000155 IPR037006 K10942
GO:0000155 IPR037006 K07677
GO:0000155 IPR037006 K07649
GO:0000155 IPR037006 K19609
GO:0000155 IPR037006 K07678
GO:0000155 IPR037006 K13587
GO:0000155 IPR037006 K02486
GO:0000155 IPR037006 K10125
GO:0000155 IPR037006 K07676
GO:0000155 IPR037006 K11231
GO:0000155 IPR037006 K18345
GO:0000155 IPR037006 K11357
GO:0000155 IPR037006 K19661
GO:0000155 IPR037006 K02478
GO:0000155 IPR037006 K07717
GO:0000155 IPR037006 K11520
GO:0000155 IPR037006 K02480
GO:0000155 IPR037006 K07718
GO:0000155 IPR037006 K07716
GO:0000155 IPR037006 K02482
GO:0000155 IPR037006 K20487
GO:0000155 IPR037006 K07675
GO:0000155 IPR037006 K12294
GO:0000155 IPR037006 K03407
GO:0000155 IPR037006 K07651
GO:0000155 IPR037006 K07697
GO:0000155 IPR037006 K17060
GO:0000155 IPR037006 K14986
GO:0000155 IPR037006 K07673
GO:0000155 IPR037006 K14988
GO:0000155 IPR037006 K07709
GO:0000155 IPR037006 K14980
GO:0000155 IPR037006 K07710
GO:0000155 IPR037006 K14982
GO:0000155 IPR037006 K11617
GO:0000155 IPR037006 K11623
GO:0000155 IPR037006 K02484
GO:0000155 IPR037006 K07777
GO:0000155 IPR037006 K19621
GO:0000155 IPR037006 K07647
GO:0000155 IPR037006 K18143
GO:0000155 IPR037006 K07674
GO:0000155 IPR037006 K11633
GO:0000155 IPR037006 K11383
GO:0000155 IPR037006 K20973
GO:0000155 IPR037006 K07701
GO:0000155 IPR037006 K18940
GO:0000155 IPR037006 K11640
GO:0000155 IPR037006 K19694
GO:0000155 IPR037006 K15850
GO:0000155 IPR037006 K18072
GO:0000155 IPR037006 K11614
GO:0000155 IPR037006 K07778
GO:0000155 IPR037006 K02489
GO:0000155 IPR037006 K07769
GO:0000155 IPR037006 K07656
GO:0000155 IPR037006 K07711
GO:0000155 IPR037006 K10681
GO:0000155 IPR037006 K07708
GO:0000155 IPR037006 K13040
GO:0000155 IPR037006 K14978
GO:0000155 IPR037006 K19690
GO:0000155 IPR037006 K19691
GO:0000155 IPR037006 K18350
GO:0000155 IPR037006 K18351
GO:0000155 IPR037006 K19692
GO:0000155 IPR037006 K07683
GO:0000155 IPR037006 K08475
GO:0000155 IPR037006 K20339
GO:0000155 IPR037006 K07704
GO:0000155 IPR037006 K07768
GO:0000155 IPR037006 K20974
GO:0000155 IPR037006 K20975
GO:0000155 IPR037006 K02668
GO:0000155 IPR037006 K07698
GO:0000155 IPR037006 K07700
GO:0000155 IPR037006 K11354
GO:0000155 IPR037006 K07652
GO:0000155 IPR037006 K20960
GO:0000155 IPR037006 K00936
GO:0000155 IPR037006 K11629
GO:0000155 IPR037006 K08479
GO:0000155 IPR037006 K07640
GO:0000155 IPR037006 K02476
GO:0000155 IPR037006 K19077
GO:0000155 IPR037006 K11356
GO:0000155 IPR037006 K07648
GO:0000155 IPR037006 K11637
GO:0000155 IPR037006 K10916
GO:0000155 IPR037006 K07638
GO:0000155 IPR037006 K08082
GO:0000155 IPR037006 K18986
GO:0000155 IPR037006 K07644
GO:0000155 IPR037006 K19081
GO:0000155 IPR037006 K14489
GO:0000155 IPR037006 K07706
GO:0000155 IPR037006 K10909
GO:0000155 IPR037006 K07654
GO:0000155 IPR037006 K07655
GO:0000155 IPR037006 K07653
GO:0000155 IPR037006 K07646
GO:0000155 IPR037006 K07643
GO:0000155 IPR037006 K19616
GO:0000155 IPR037006 K15011
GO:0000155 IPR037006 K11711
GO:0000155 IPR037006 K11691
GO:0000155 IPR037006 K02491
GO:0000155 IPR037006 K07637
GO:0000155 IPR037006 K06596
GO:0000155 IPR037006 K07642
GO:0000155 IPR037006 K07680
GO:0000155 IPR037006 K07681
GO:0000155 IPR037006 K07645
GO:0000155 IPR037006 K07679
GO:0000155 IPR037006 K10715
GO:0000155 IPR037006 K11328
GO:0000155 IPR037006 K07682
GO:0000155 IPR037006 K07636
GO:0000155 IPR037006 K13598
GO:0000155 IPR037006 K07641
GO:0000155 IPR037006 K11527
GO:0000155 IPR037006 K07639
GO:0000155 IPR037006 K11526
GO:0000155 IPR010559 K13532
GO:0000155 IPR010559 K13490
GO:0000155 IPR010559 K13533
GO:0000155 IPR010559 K07650
GO:0000155 IPR010559 K20263
GO:0000155 IPR010559 K10942
GO:0000155 IPR010559 K07677
GO:0000155 IPR010559 K07649
GO:0000155 IPR010559 K19609
GO:0000155 IPR010559 K07678
GO:0000155 IPR010559 K13587
GO:0000155 IPR010559 K02486
GO:0000155 IPR010559 K10125
GO:0000155 IPR010559 K07676
GO:0000155 IPR010559 K11231
GO:0000155 IPR010559 K18345
GO:0000155 IPR010559 K11357
GO:0000155 IPR010559 K19661
GO:0000155 IPR010559 K02478
GO:0000155 IPR010559 K07717
GO:0000155 IPR010559 K11520
GO:0000155 IPR010559 K02480
GO:0000155 IPR010559 K07718
GO:0000155 IPR010559 K07716
GO:0000155 IPR010559 K02482
GO:0000155 IPR010559 K20487
GO:0000155 IPR010559 K07675
GO:0000155 IPR010559 K12294
GO:0000155 IPR010559 K03407
GO:0000155 IPR010559 K07651
GO:0000155 IPR010559 K07697
GO:0000155 IPR010559 K17060
GO:0000155 IPR010559 K14986
GO:0000155 IPR010559 K07673
GO:0000155 IPR010559 K14988
GO:0000155 IPR010559 K07709
GO:0000155 IPR010559 K14980
GO:0000155 IPR010559 K07710
GO:0000155 IPR010559 K14982
GO:0000155 IPR010559 K11617
GO:0000155 IPR010559 K11623
GO:0000155 IPR010559 K02484
GO:0000155 IPR010559 K07777
